time_s,tcp_x,tcp_y,tcp_z,waypoint,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,jerk_x,jerk_y,jerk_z
4.000000,0.548438,0.573438,0.192188,0,0.364000,-0.084000,0.028000,-0.487500,0.112500,-0.037500,0.638886,-0.812783,0.910725,-1.668736,-1.570795,0.638890,-0.365149,0.564148,-1.058468,0.494320,-0.000001,-0.365149,1.536251,-48.828805,-20.011794,-1.798461,0.021659,-0.000000,-0.975000,0.225000,-0.075000
4.100000,0.582400,0.565600,0.194800,0,0.310375,-0.071625,0.023875,-0.585000,0.135000,-0.045000,0.605825,-0.755541,0.802773,-1.618026,-1.570795,0.605829,-0.295646,0.565438,-1.072569,0.507131,-0.000001,-0.295646,1.954518,-50.914827,-20.082650,-1.791909,0.025414,-0.000000,-0.975000,0.225000,-0.075000
4.200000,0.610512,0.559113,0.196963,0,0.247000,-0.057000,0.019000,-0.682500,0.157500,-0.052500,0.579757,-0.699696,0.696212,-1.567310,-1.570795,0.579761,-0.225239,0.528269,-1.013541,0.485272,-0.000000,-0.225239,2.393476,-52.973874,-20.128582,-1.785406,0.029075,-0.000000,-0.975000,0.225000,-0.075000
4.300000,0.631800,0.554200,0.198600,0,0.173875,-0.040125,0.013375,-0.780000,0.180000,-0.060000,0.560778,-0.649887,0.600065,-1.520972,-1.570795,0.560781,-0.153369,0.432031,-0.837395,0.405364,-0.000000,-0.153369,2.844437,-54.956658,-20.156456,-1.780082,0.032711,0.000000,-0.975000,0.225000,-0.075000
4.400000,0.645288,0.551087,0.199638,0,0.091000,-0.021000,0.007000,-0.688125,0.096771,-0.006458,0.549083,-0.613290,0.528733,-1.486237,-1.570795,0.549087,-0.078681,0.251449,-0.490652,0.239203,-0.000000,-0.078681,2.373321,-56.321603,-20.290001,-1.796388,0.025727,0.000000,-0.975000,0.225000,-0.075000
4.500000,0.650000,0.550000,0.200000,2,0.036250,-0.020771,0.012083,-0.420000,-0.391667,0.326667,0.545042,-0.599597,0.501934,-1.473131,-1.570795,0.545045,-0.043572,0.073567,-0.170226,0.096659,-0.000000,-0.043572,0.040767,-58.444945,-20.975359,-1.858142,-0.006367,0.000000,-0.975000,0.225000,-0.075000
4.550000,0.650725,0.547972,0.201450,0,0.028000,-0.079750,0.056000,0.172500,-1.352917,0.949167,0.542548,-0.602254,0.503199,-1.471738,-1.570795,0.542551,-0.098321,-0.116630,0.077161,0.039470,-0.000000,-0.098321,-4.781762,-61.083814,-22.220851,-1.972089,-0.071403,-0.000000,-1.200000,1.650000,-2.400000
4.600000,0.652800,0.542025,0.205600,0,0.053500,-0.156063,0.107000,0.480000,-1.485000,0.960000,0.535209,-0.611260,0.509650,-1.469184,-1.570795,0.535213,-0.193032,-0.229101,0.158844,0.070257,-0.000000,-0.193032,-6.121479,-59.744164,-22.187134,-1.984783,-0.087295,-0.000000,-1.200000,1.650000,-2.400000
4.650000,0.656075,0.532366,0.212150,0,0.076000,-0.228250,0.152000,0.420000,-1.402500,0.840000,0.523244,-0.625165,0.519083,-1.464713,-1.570795,0.523248,-0.282995,-0.323373,0.218632,0.104741,-0.000001,-0.282995,-5.640906,-58.657792,-21.930708,-1.962618,-0.081478,0.000000,-1.200000,1.650000,-2.400000
4.700000,0.660400,0.519200,0.220800,0,0.095500,-0.296312,0.191000,0.360000,-1.320000,0.720000,0.506910,-0.643597,0.531513,-1.458710,-1.570795,0.506914,-0.368643,-0.401767,0.261692,0.140076,-0.000001,-0.368643,-5.167620,-57.401521,-21.665897,-1.940083,-0.075880,0.000000,-1.200000,1.650000,-2.400000
