method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance
epsilon,2.06085,2.142607828,1.849417194,2.029617481,2.109276353,2.096587708,0.1894693668,0.8156304824,0.4254656498,-0.1040018237,-0.5169867793,-1.550967209,0.07670873215,0.1211820397,0.7286894078,0.3774870331,0.2440790563,0.8734581094,115.0402986,138.8698057,70.69963868,107.0575945,128.6104783,124.9072674,1.546925387,6.540794166,2.663579415,0.7870424847,0.3040977597,0.02812113148,0.07670873215,0.1211820397,0.7286894078,0.3774870331,0.2440790563,0.8734581094,0.00645975368,66228.256,8518.749675,-24.20789572,-2.869045623,-0.22986422,-0.6580164145,-4.895208215e-05
epsilon,2.233113751,1.903233268,2.138635447,2.161616943,2.244255449,1.541431805,0.4114823263,1.074222058,0.3196696209,-0.1356693772,-0.6719988929,-1.378023304,0.7543139802,0.3401514959,0.8352288114,0.5167416434,0.2225713178,0.8734553124,171.0463265,80.02639767,137.6053906,145.0831389,175.4912424,34.78818772,2.579184002,11.86375196,2.087707353,0.7316959022,0.2128144471,0.04187710931,0.7543139802,0.3401514959,0.8352288114,0.5167416434,0.2225713178,0.8734553124,0.007190912608,66204.40995,1299.004075,-25.06249444,-2.942741596,-0.3253231905,-0.6017581236,-0.002230097975
epsilon,2.207325637,1.89215026,2.116182847,2.145075325,2.224741227,1.57135834,0.1850079466,0.594342711,0.3411689783,-0.08612023665,-0.6261081841,-1.378098446,0.1873733537,0.3100878674,0.6542854146,0.5693769508,0.2481544162,0.8827545411,161.1853763,78.00999686,130.6720928,139.6610573,167.7804005,37.26990967,1.531115477,3.929549021,2.193658293,0.8201244572,0.2365330413,0.04186986439,0.1873733537,0.3100878674,0.6542854146,0.5693769508,0.2481544162,0.8827545411,0.007948858951,66201.12781,1122.733806,-25.11659618,-2.940338817,-0.3349830062,-0.5428940586,-0.013797685
epsilon,2.108104698,1.863437154,2.028229431,2.075808976,2.13995639,1.448364107,0.2051925438,0.5666042949,0.4261171187,-0.1616069069,-0.4908860891,-1.379207679,0.07212175803,0.5844558128,0.4137294826,0.5923055214,0.3130758449,0.8734011109,128.2639759,73.01921403,106.7159736,119.0718157,138.0245659,28.07786666,1.603956345,3.686415597,2.667577949,0.6892758986,0.3229341033,0.04176306088,0.07212175803,0.5844558128,0.4137294826,0.5923055214,0.3130758449,0.8734011109,0.01171391674,66188.61671,818.8305228,-25.21498687,-2.932513238,-0.3230562407,-0.2545947262,-0.01369088149
epsilon,2.173074763,1.969864442,2.127460832,2.162234675,2.193894889,1.445947733,0.1317077857,0.7203064135,0.3188831442,-0.03473366955,-0.370114304,-1.379096099,0.1150503524,0.5856849425,0.5315213232,0.7065204838,0.4280041902,0.8440510486,148.9617489,93.29630467,134.1098981,145.2896492,156.2769365,27.9220778,1.354277882,5.251778652,2.083930084,0.9231373662,0.4264672601,0.04177379209,0.1150503524,0.5856849425,0.5315213232,0.7065204838,0.4280041902,0.8440510486,0.009490554985,66195.27386,972.1745603,-25.18019219,-2.937075621,-0.3434362074,-0.424774642,-0.01370161269
epsilon,2.184433799,1.966307415,2.112107373,2.150210023,2.198804983,2.097362916,0.5863628061,0.5774852215,0.3600808004,-0.03185988415,-0.6666614013,-1.382807017,0.6887593959,0.6150168759,0.512798378,0.7226783321,0.2217361216,0.8848833152,152.9092642,92.53529533,129.4515852,141.3220807,158.053815,125.1304238,3.858005177,3.779942744,2.291293908,0.9292661463,0.2154460811,0.04141836801,0.6887593959,0.6150168759,0.512798378,0.7226783321,0.2217361216,0.8848833152,0.01025260244,66192.72195,927.6384017,-25.19147323,-2.935772196,-0.3234630186,-0.36649094,-0.004861731963
epsilon,2.186394747,1.945810278,2.093785127,2.137844136,2.20568673,1.447359345,0.1508219986,0.5376018021,0.3447013997,-0.09744455436,-0.5495648135,-1.378630783,0.1500377142,0.6441700768,0.463780953,0.6769732354,0.2985893024,0.8822529344,153.6012488,88.26942095,124.1038136,137.3548934,160.5782534,28.01298215,1.415213617,3.448274274,2.211573613,0.7990159442,0.2821208518,0.0418185738,0.1500377142,0.6441700768,0.463780953,0.6769732354,0.2985893024,0.8822529344,0.01101002324,66190.34636,882.7981261,-25.1975683,-2.934408702,-0.3477023215,-0.3083216537,-0.0137463944
epsilon,2.1868852,1.93058326,2.088236037,2.1304902,2.20564118,1.529131698,0.1941180637,0.5772690784,0.3388442988,-0.1080632675,-0.4151246617,-1.377531549,0.1758763171,0.7017720765,0.4501075113,0.683343714,0.4106489664,0.8824548352,153.7748103,85.22818885,122.5281952,135.0486353,160.5614125,33.81673689,1.563572645,3.77806198,2.18194751,0.7797165141,0.3844814031,0.04192455401,0.1758763171,0.7017720765,0.4501075113,0.683343714,0.4106489664,0.8824548352,0.01179487814,66187.93237,843.3321089,-25.20253232,-2.933262951,-0.363312438,-0.2479414528,-0.01385237462
epsilon,2.189173567,1.922711618,2.079141886,2.124151891,2.201468782,2.0917003,0.3279724306,0.5365865424,0.468985815,-0.07270294557,-0.4119938063,-1.383711421,0.7337545914,0.7385417733,0.4707149614,0.7378798823,0.4152611459,0.8235387151,154.587213,83.6973328,119.989125,133.0919815,159.0262366,123.5094818,2.128003954,3.440222583,2.944325464,0.8458572078,0.3872631678,0.04133220538,0.7337545914,0.7385417733,0.4707149614,0.7378798823,0.4152611459,0.8235387151,0.01256216413,66185.65106,809.4778672,-25.21127815,-2.932034803,-0.3560826596,-0.1898474296,-0.01300418058
epsilon,2.171444913,1.904063356,2.054886454,2.105626123,2.187017446,2.099712651,0.4825609112,0.5349623507,0.4136405373,-0.1146969425,-0.551282175,-1.37943343,0.6736988431,0.7660562854,0.4166178723,0.69832997,0.2967859212,0.8821331636,148.403763,80.17950229,113.4714105,127.5340417,153.8216432,125.8092725,3.037812125,3.42738073,2.592033065,0.7678971531,0.2810074442,0.04174135762,0.6736988431,0.7660562854,0.4166178723,0.69832997,0.2967859212,0.8821331636,0.01331816115,66183.40425,787.8459568,-25.22080926,-2.931088419,-0.3482011814,-0.1313257518,-0.0001623281473
epsilon,2.182436047,1.890416067,2.049415723,2.097657233,2.197715188,2.016303109,0.5004189993,0.5417691399,0.3974881548,-0.09828048415,-0.3884550988,-1.303643827,0.6661128307,0.8033298427,0.4087437269,0.7296925862,0.4402002617,0.8828094343,152.2074981,77.69911408,112.0509965,125.2152523,157.6577004,103.8252796,3.165330039,3.481521968,2.497400273,0.7974794779,0.4088320186,0.04969997531,0.6661128307,0.8033298427,0.4087437269,0.7296925862,0.4402002617,0.8828094343,0.01409862354,66181.11735,762.4009164,-25.22862475,-2.929968317,-0.3082207102,-0.0712744592,-0.02162779592
epsilon,2.180109099,1.883369671,2.049624078,2.101251297,2.19457421,2.019692408,0.4908189156,0.5360933949,0.4790613684,-0.1509443865,-0.5629894092,-1.378851599,0.6711216383,0.8436108,0.4192896941,0.7268310412,0.2963844298,0.8826201983,151.3941519,76.44862357,112.1047665,126.2557879,156.5215751,104.6387175,3.096128062,3.436318378,3.01343181,0.7064080074,0.273533543,0.04179731663,0.6711216383,0.8436108,0.4192896941,0.7268310412,0.2963844298,0.8826201983,0.01485759849,66178.95147,738.6858846,-25.23637277,-2.928687885,-0.356251617,-0.01319148633,-0.009099976132
