method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance,g6_G
epsilon,1.544159064,1.048748567,1.838923666,1.893083568,1.950487322,1.42713218,0.232704441,0.5911472282,0.4355405565,-0.1317147668,-0.2633574404,-1.425130865,0.2461107755,0.2381392264,0.2768677543,0.7458119051,0.4560522279,0.9154747552,35.00733609,11.18789978,69.01184949,78.17782218,89.22515734,26.73820075,1.70885196,3.900742016,2.726092303,0.7383890254,0.545308867,0.03757241708,0.2461107755,0.2381392264,0.2768677543,0.7458119051,0.4560522279,0.9154747552,0.02555625612,66149.92889,746.8504438,-25.32165987,-2.921209564,-0.2809927805,-0.1921951961,-0.009500237689,0.003690168869
epsilon,1.533709127,1.040873237,1.840085667,1.890406456,1.960119055,1.457490179,0.5256276889,0.5291761933,0.5406946274,-0.06871082932,-0.2276120227,-1.124713821,0.3401532102,0.2295267243,0.3049782136,0.8175395071,0.5017807839,0.9588099937,34.17504754,10.98685105,69.19674518,77.69739466,91.22608871,28.67412531,3.354499171,3.38202017,3.472918785,0.8536683314,0.5920903423,0.07503885169,0.3401532102,0.2295267243,0.3049782136,0.8175395071,0.5017807839,0.9588099937,0.02577673546,66149.31051,743.1500384,-25.3276639,-2.920904138,-0.1360695387,-0.1755278158,0.04519823233,0.004542497619
epsilon,1.595951557,0.9400442313,1.833796229,1.892957622,1.964557318,1.523487588,0.2036152722,0.5744811058,0.5204407732,-0.1452861606,-0.4106364246,-1.404208333,0.2852885871,0.1878155949,0.2941501233,0.7481049828,0.3298438664,0.989881648,39.44133051,8.710522989,68.20186159,78.15515375,92.16315175,33.38009648,1.598141658,3.753886227,3.314673629,0.7156716922,0.3884754473,0.03942681243,0.2852885871,0.1878155949,0.2941501233,0.7481049828,0.3298438664,0.989881648,0.02600125675,66148.5632,730.0373172,-25.32432125,-2.920826962,-0.2802948167,-0.157495048,-0.01135463303,0.1088048173
epsilon,1.504834468,1.006344701,1.833355425,1.890592786,1.94333589,1.510351198,0.3106024008,0.5952271267,0.395878552,0.004726479482,-0.3444464762,-1.429552615,0.1108691112,0.223184952,0.2632149326,0.9287869565,0.3741448657,0.9315314812,31.97676079,10.14716451,68.13267253,77.73073714,87.76793692,32.38554413,2.044571962,3.937559476,2.488161421,1.010942558,0.4524322181,0.03719181605,0.1108691112,0.223184952,0.2632149326,0.9287869565,0.3741448657,0.9315314812,0.0262478799,66147.98162,732.1884642,-25.3346671,-2.920480803,-0.2723642547,-0.139162206,-0.009119636659,0.0208055315
epsilon,1.539572082,1.02130862,1.825972517,1.88216131,1.945750766,1.427670885,0.3288551106,0.5349417862,0.4260380676,-0.1478966834,-0.2821024893,-1.424246799,0.2680417777,0.2265334975,0.2697359562,0.7408517744,0.4321766752,0.9543956501,34.63953732,10.50288523,66.9842219,76.23621211,88.25732614,26.77138781,2.132333405,3.427218443,2.667092435,0.7113827282,0.5222729231,0.03764897878,0.2680417777,0.2265334975,0.2697359562,0.7408517744,0.4321766752,0.9543956501,0.02645616168,66147.43329,735.7099967,-25.33260729,-2.920728451,-0.2754406906,-0.1233615309,-4.078480931e-08,0.001231467084
epsilon,1.537901593,0.9947753831,1.831687113,1.885342501,1.95275547,1.517285372,0.1897185675,0.5767827021,0.31214914,-0.01444753818,-0.3346572252,-1.429678482,0.1560547623,0.2212776637,0.2486673997,0.9043548796,0.3908311392,0.9561187904,34.50655423,9.880419477,67.87144768,76.79668975,89.69236375,32.90677884,1.547813276,3.773833211,2.051866684,0.967280565,0.462746108,0.03718103865,0.1560547623,0.2212776637,0.2486673997,0.9043548796,0.3908311392,0.9561187904,0.02689253782,66146.17936,729.4466158,-25.33866259,-2.920349363,-0.2823124144,-0.08963238984,-0.009108859255,0.01440678905
epsilon,1.550762292,0.9955973557,1.833532429,1.885998771,1.95502171,1.516142867,0.2247408739,0.585178244,0.3452575179,-0.015897248,-0.3246079327,-1.114733061,0.2965649864,0.2236652485,0.2534386873,0.9055139771,0.4007878498,0.9592179329,35.54367198,9.899137477,68.16044686,76.91282635,90.16162084,32.82032426,1.677802642,3.847496594,2.214407369,0.9640570879,0.4735785978,0.07678332934,0.2965649864,0.2236652485,0.2534386873,0.9055139771,0.4007878498,0.9592179329,0.02700711261,66145.85203,733.4020187,-25.33931759,-2.920319725,-0.1220628975,-0.08079828189,-0.04871114995,0.008874053667
epsilon,1.550397421,0.9983053066,1.827919444,1.88289384,1.949185146,1.423460375,0.2179232344,0.5329438671,0.4758264854,-0.1656534753,-0.275257294,-1.405576747,0.2939456743,0.2208346963,0.2781140097,0.7375051074,0.4443261171,0.9477669941,35.51382263,9.961054279,67.28518401,76.36490917,88.95802771,26.51309174,1.651669824,3.411488151,2.99106937,0.6828833512,0.5305700195,0.03930277847,0.2939456743,0.2208346963,0.2781140097,0.7375051074,0.4443261171,0.9477669941,0.02713671475,66145.52121,731.9271832,-25.33640939,-2.920470188,-0.2811958597,-0.07109290118,0.01573025176,0.003373331327
epsilon,1.544456671,0.992991315,1.829189141,1.88261817,1.946568442,1.522402168,0.2245836539,0.5421996216,0.5233301704,-0.1445873306,-0.4221615762,-1.424497125,0.2564414268,0.2210056248,0.2897750921,0.7654341902,0.3177000395,0.8713632214,35.03133365,9.839914277,67.48218581,76.31645165,88.42365076,33.29677475,1.677195366,3.484974636,3.33679995,0.7168242177,0.378301814,0.03762728432,0.2564414268,0.2210056248,0.2897750921,0.7654341902,0.3177000395,0.8713632214,0.0273543221,66144.93462,725.3050979,-25.34027351,-2.920247954,-0.2753588424,-0.05440122931,-0.009555104924,0.00208407069
epsilon,1.526647873,0.9876924234,1.827677789,1.881752775,1.941416945,1.427238026,0.1918330865,0.57316001,0.4743232032,-0.01608721308,-0.3347005094,-1.429742049,0.1413024568,0.2235296965,0.2761891331,0.918994865,0.3845983703,0.9554769675,33.62388353,9.720585475,67.24775477,76.16453155,87.38098674,26.74471819,1.555367738,3.742484497,2.980733875,0.9636354912,0.4626999906,0.03717559693,0.1413024568,0.2235296965,0.2761891331,0.918994865,0.3845983703,0.9554769675,0.02757989121,66144.29934,720.9277118,-25.3464062,-2.919987806,-0.2753520994,-0.03702273841,-0.009103417534,0.0002474606895
epsilon,1.554991874,0.9509350427,1.827351685,1.879863042,1.947968632,1.427295746,0.3603384996,0.537622058,0.3647324702,-0.1321399821,-0.3683634349,-1.333915527,0.2913008169,0.2045733402,0.2526514575,0.7862797558,0.3598545793,0.9860759088,35.89152191,8.931718823,67.19727857,75.83383893,88.70919374,26.74827294,2.292653906,3.448435109,2.315967551,0.7376664267,0.428190044,0.04635370715,0.2913008169,0.2045733402,0.2526514575,0.7862797558,0.3598545793,0.9860759088,0.02787617346,66143.42527,718.94501,-25.34538974,-2.919999784,-0.2785927102,-0.01416442537,-0.01828152775,0.03227617014
epsilon,1.544725675,0.9741932022,1.829047702,1.883038946,1.94746247,1.459771671,0.3094664398,0.5398858262,0.50338452,-0.1326737274,-0.2525636744,-1.429314389,0.3002466986,0.2172337361,0.2840901111,0.7963705014,0.4749371243,0.9146856708,35.05303889,9.423087029,67.46021205,76.39042847,88.6058651,28.82515629,2.039231071,3.466457071,3.187018027,0.7367603959,0.5590315587,0.03721222264,0.3002466986,0.2172337361,0.2840901111,0.7963705014,0.4749371243,0.9146856708,0.0280298747,66143.07378,713.73577,-25.34686409,-2.919824018,-0.2887835659,-0.002563729677,-0.009140043243,0.001992007033
