method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance,g6_G
nsga2,1.427083881,1.04080949,1.619759763,1.711725562,2.249229076,1.393655124,0.1836857785,0.5831690867,0.2757626114,0.02224529658,-0.6464838844,-1.42912676,0.1552145611,0.2371990307,0.2030117736,0.9300034292,0.5515793989,0.4638393343,26.73522732,10.9852385,41.66388489,51.49031657,177.5125553,24.75455501,1.526461231,3.8297382,1.886959641,1.052556207,0.2256919742,0.03722830301,0.1552145611,0.2371990307,0.2030117736,0.9300034292,0.5515793989,0.4638393343,0.02686550275,66150.88934,752.3956895,-25.4494351,-2.913896201,-0.1203387649,-0.09609112136,-0.009156123619,-0.006770573644
nsga2,1.496101658,1.023144935,1.761475926,1.684157739,2.331652889,1.424465475,0.3490427193,0.5633844135,0.3532191103,0.01555378077,-0.4170189886,-1.121010702,0.3372174085,0.2329933893,0.1865421982,0.541353617,0.5506271469,0.9740055566,31.34019236,10.54738831,57.73988657,48.32342842,214.6114499,26.57452279,2.233791939,3.659185392,2.255376808,1.036462947,0.3828080055,0.0756814245,0.3372174085,0.2329933893,0.1865421982,0.541353617,0.5506271469,0.9740055566,0.02654438338,66146.77133,1947.412607,-25.33242711,-2.933016524,-0.1404760345,-0.1154412095,-0.04760924511,-0.01019677645
nsga2,1.469515027,1.042113686,1.649330416,1.699800703,2.276040027,1.428802514,0.2639301472,0.5828827458,0.6174203189,0.02915686331,-0.5312393108,-1.403858204,0.3373824267,0.2381822404,0.2315710711,0.6883947836,0.4841095016,0.9988845712,29.47915475,11.01827698,44.59954373,50.09572921,188.8165364,26.84123619,1.836242974,3.827213992,4.14400546,1.069441082,0.2942799606,0.03945861123,0.3373824267,0.2381822404,0.2315710711,0.6883947836,0.4841095016,0.9988845712,0.02587997874,66149.31288,1096.079502,-25.37080797,-2.925590605,-0.4364543255,-0.1681382298,-0.01138643183,-0.008754491665
nsga2,1.470468592,1.021886859,1.656105731,1.697506791,2.249168435,1.427887391,0.3007668525,0.5390944755,0.4475068897,0.01829531722,-0.4197654447,-1.423559493,0.3373539397,0.2261490957,0.2326990202,0.5379264583,0.5496561152,0.9540792722,29.54395217,10.51687855,45.30078535,49.83182477,177.4877708,26.78473731,1.998788548,3.460146409,2.802250076,1.043026439,0.3803947858,0.03770860851,0.3373539397,0.2261490957,0.2326990202,0.5379264583,0.5496561152,0.9540792722,0.02644258639,66147.53186,1179.179619,-25.31263767,-2.932911661,-0.4399579236,-0.1227596917,-0.009636429119,-0.001897667659
nsga2,1.470467928,1.031253855,1.642165938,1.697506791,2.249164078,1.426433974,0.1957991724,0.5390944755,0.4475068897,-0.105511999,-0.4197654447,-1.394393392,0.3373673553,0.2372910301,0.3118432226,0.5303363282,0.5811194386,0.9540792722,29.54390701,10.74617366,43.86982864,49.83182477,177.4859905,26.69524889,1.569636801,3.460146409,2.802250076,0.784310449,0.3803947858,0.04032799289,0.3373673553,0.2372910301,0.3118432226,0.5303363282,0.5811194386,0.9540792722,0.02711339645,66146.58359,922.9221741,-25.33537906,-2.925910599,-0.4184218997,-0.07242124118,-0.01225581349,-0.02835346224
nsga2,1.468843308,1.040762651,1.495031861,1.69814412,2.295450419,1.458049876,0.4131142292,0.5819452332,0.6364059494,-0.1030501586,-0.6462833271,-1.428502364,0.3422178228,0.2376387931,0.2320022559,0.5328534985,0.5150983,0.9576371765,29.43359485,10.98405378,31.26308711,49.90500693,197.4469452,28.71110291,2.588893763,3.818961087,4.32918305,0.788769014,0.2257962229,0.03728186559,0.3422178228,0.2376387931,0.2320022559,0.5328534985,0.5150983,0.9576371765,0.02631860997,66149.22706,1043.875795,-25.34282573,-2.927676897,-0.4313613954,-0.1340662845,-0.00920968619,-0.008894281189
nsga2,1.470446917,1.003795579,1.894484391,1.697275358,2.337862224,1.427887194,0.3007668525,0.5384668108,0.5401016855,0.01829531722,-0.417024308,-1.429714772,0.3371268211,0.2262375793,0.232718808,0.5371820202,0.5496561152,0.918217995,29.54247777,10.08777946,78.43039304,49.80527684,217.7019023,26.78472516,1.998788548,3.45514924,3.468180448,1.043026439,0.3828033167,0.03717793195,0.3371268211,0.2262375793,0.232718808,0.5371820202,0.5496561152,0.918217995,0.02725220962,66145.08207,2492.842075,-25.32410157,-2.93359313,-0.4323679175,-0.06136134824,-0.009105752558,-0.004266370041
nsga2,1.353021922,1.021793038,1.834492663,1.699831398,2.306459056,1.426652263,0.2641928081,0.5383235363,0.3567243676,0.02964569777,-0.5417097465,-1.331260708,0.3248161857,0.2382089587,0.2315621921,0.5462750398,0.4845660999,0.9858883595,22.54353001,10.51460683,68.31131779,50.09926997,202.5158671,26.70867005,1.837353868,3.454009568,2.273653959,1.070645504,0.2872699862,0.04663793274,0.3248161857,0.2382089587,0.2315621921,0.5462750398,0.4845660999,0.9858883595,0.02771730655,66143.85388,1669.323957,-25.31802384,-2.932915764,-0.3789100461,-0.02541846188,-0.01856575334,-0.03122222504
nsga2,1.470106005,1.022052547,1.659433352,1.697506791,2.249168435,1.427887391,0.3007668525,0.5390944755,0.4475068897,0.02340649747,-0.4197654447,-1.423559493,0.3373539397,0.2259778667,0.2326990202,0.5379286534,0.5496561152,0.9569816877,29.51929661,10.52089164,45.64921906,49.83182477,177.4877708,26.78473731,1.998788548,3.460146409,2.802250076,1.055374259,0.3803947858,0.03770860851,0.3373539397,0.2259778667,0.2326990202,0.5379286534,0.5496561152,0.9569816877,0.02642269607,66147.57997,1189.575788,-25.31162268,-2.933230287,-0.4408983136,-0.1242426035,-0.009636429119,-0.001193368163
nsga2,1.471192653,1.04080949,1.623701166,1.831968402,2.29383465,1.517498595,0.1838124336,0.583165306,0.2757626114,0.02224529658,-0.6466925787,-1.429030958,0.1640786516,0.2371997424,0.3077210271,0.9103009841,0.5503226754,0.9558690465,29.59324934,10.9852385,42.04372299,67.91542169,196.7137195,32.92293883,1.526906464,3.829704861,1.886959641,1.052556207,0.2255835471,0.03723651619,0.1640786516,0.2371997424,0.3077210271,0.9103009841,0.5503226754,0.9558690465,0.02649561752,66149.95323,864.9341759,-25.34004894,-2.919110926,-0.4443976739,-0.1205263111,-0.009164336792,-0.003319533139
